,country,region,SP.POP.TOTL_2018,SP.POP.TOTL_2015,SP.POP.TOTL_2016,SP.POP.TOTL_2014,SP.POP.TOTL_2017,SP.POP.TOTL_2013,SP.POP.TOTL_2012,SP.POP.TOTL_2022,SP.POP.TOTL_2019,SP.POP.TOTL_2020,SP.POP.TOTL_2021
73,Germany,Europe & Central Asia,82905782,81686611,82348669,80982500,82657002,80645605,80425823,83797985,83092962,83160871,83196078
74,Ghana,Sub-Saharan Africa,30637585,28696068,29356742,28041592,30008354,27386193,26734268,33149152,31258945,31887809,32518665
75,Gibraltar,Europe & Central Asia,34854,33193,33658,32813,34245,32407,32029,37609,35494,36173,36858
76,Greece,Europe & Central Asia,10732882,10820883,10775971,10892413,10754679,10965211,11045011,10436882,10721582,10698599,10569207
77,Greenland,Europe & Central Asia,56023,56114,56186,56295,56172,56483,56810,56661,56225,56367,56653
78,Grenada,Latin America & Caribbean,115691,114676,115130,114132,115438,113487,112775,116913,115981,116341,116688
79,Guam,East Asia & Pacific,162679,164905,164233,165486,163490,165966,166331,165180,161808,162158,163730
80,Guatemala,Latin America & Caribbean,16845685,15971743,16268760,15681725,16567357,15387337,15089647,17847877,17103803,17357325,17598650
81,Guinea,Sub-Saharan Africa,12704774,11767070,12073030,11472924,12385659,11191873,10921581,14055137,13034346,13371183,13710513
82,Guinea-Bissau,Sub-Saharan Africa,1922168,1786457,1831893,1741122,1877072,1695973,1651417,2105529,1967696,2013255,2058841
83,Guyana,Latin America & Caribbean,791556,758781,763548,754229,768479,750021,746288,821637,807665,807481,815482
84,Haiti,Latin America & Caribbean,10962362,10523242,10671457,10373235,10817754,10222362,10069771,11503606,11105163,11243848,11374586
85,Honduras,Latin America & Caribbean,9765210,9237305,9412380,9063122,9588137,8889278,8715076,10463872,9943633,10119640,10289877
86,"Hong Kong SAR, China",East Asia & Pacific,7452600,7291300,7336600,7229500,7393200,7178900,7150100,7346100,7507900,7481000,7413100
87,Hungary,Europe & Central Asia,9775564,9843028,9814023,9866468,9787966,9893082,9920362,9644377,9771141,9750149,9709891
88,Iceland,Europe & Central Asia,352721,330815,335439,327386,343400,323764,320716,382003,360563,366463,372520
89,India,South Asia,1374659064,1328024498,1343944296,1312277191,1359657400,1295829511,1278674502,1425423212,1389030312,1402617695,1414203896
90,Indonesia,East Asia & Pacific,269951846,261799249,264627418,258877399,267346658,255852467,252698525,278830529,272489381,274814866,276758053
91,"Iran, Islamic Rep.",Middle East & North Africa,86117998,82619362,83812228,81502045,85026754,80414686,79370580,89524246,87051648,87723443,88455488
92,Iraq,Middle East & North Africa,40265624,37560535,38469627,36550059,39337353,35281989,33654842,44070551,41192171,42116605,43071211
93,Ireland,Europe & Central Asia,4867316,4701957,4755335,4657740,4807388,4623816,4599533,5165700,4934340,4985382,5033164
94,Isle of Man,Europe & Central Asia,83805,83593,83466,83892,83609,84141,84335,84132,83957,84064,84106
95,Israel,Middle East & North Africa,8882800,8380100,8546000,8215700,8713300,8059500,7910500,9557500,9054000,9215100,9371400
96,Italy,Europe & Central Asia,60421760,60730582,60627498,60789140,60536709,60233948,59539717,59013667,59729081,59438851,59133173
97,Jamaica,Latin America & Caribbean,2820097,2802534,2809915,2793749,2815764,2783687,2772430,2839144,2823271,2830739,2837682
98,Japan,East Asia & Pacific,126811000,127141000,127076000,127276000,126972000,127445000,127629000,125124989,126633000,126261000,125681593
99,Jordan,Middle East & North Africa,10462306,9544729,10006367,8791710,10234226,7991809,7587127,11256263,10671891,10865228,11066356
100,Kazakhstan,Europe & Central Asia,18932727,18084169,18363600,17816285,18651931,17556502,17306106,20034609,19209555,19482117,19743603
101,Kenya,Sub-Saharan Africa,50207107,47088526,48139687,46051440,49197766,44986791,43888303,54252461,51202827,52217334,53219166
102,Kiribati,East Asia & Pacific,122084,116815,118478,115326,120275,113838,112284,130469,123921,126099,128377
103,"Korea, Dem. People's Rep.",East Asia & Pacific,25931147,25575350,25698326,25451262,25817709,25329451,25211728,26328845,26037632,26136312,26232534
104,"Korea, Rep.",East Asia & Pacific,51585058,51014947,51217803,50746659,51361911,50428893,50199853,51672569,51764822,51836239,51769539
105,Kosovo,Europe & Central Asia,1797086,1788274,1777568,1812788,1791019,1818119,1807126,1768096,1788891,1790152,1786080
106,Kuwait,Middle East & North Africa,4323515,3834574,4004096,3665876,4154812,3507844,3337109,4589643,4442316,4400267,4360865
107,Kyrgyz Republic,Europe & Central Asia,6444078.5,6040035.5,6175337.5,5905847.5,6306695.5,5777150,5652076,6975219.5,6590211,6726595.5,6851224
108,Lao PDR,East Asia & Pacific,7128045,6801645,6908802,6703172,7018147,6611385,6518978,7559007,7237636,7346533,7453194
109,Latvia,Europe & Central Asia,1927174,1977527,1959537,1993782,1942248,2012647,2034319,1879383,1913822,1900449,1884490
110,Lebanon,Middle East & North Africa,5984119,6472469,6323060,6346990,6160128,5743436,5235742,5744489,5794594,5702398,5718122
111,Lesotho,Sub-Saharan Africa,2183603,2104611,2130422,2080089,2157110,2056504,2034354,2286110,2209405,2235727,2261542
112,Liberia,Sub-Saharan Africa,4944726,4659431,4755608,4564293,4848925,4470239,4373043,5373294,5043721,5149463,5259323
113,Libya,Middle East & North Africa,6849055,6531819,6632126,6427252,6738770,6304628,6179328,7223805,6951033,7045399,7135175
114,Liechtenstein,Europe & Central Asia,38246,37494,37716,37248,37962,36984,36657,39493,38563,38901,39182
115,Lithuania,Europe & Central Asia,2801543,2904910,2868231,2932367,2828403,2957689,2987773,2831639,2794137,2794885,2800839
116,Luxembourg,Europe & Central Asia,607950,569604,582014,556319,596336,543360,530946,653103,620001,630419,640064
117,"Macao SAR, China",East Asia & Pacific,658900,642900,652500,621700,648400,591900,567900,677300,672000,685400,682500
118,Madagascar,Sub-Saharan Africa,27494926,25426702,26099952,24764348,26788375,24109290,23462438,30437261,28219554,28953556,29691083
119,Malawi,Sub-Saharan Africa,18528081,17085587,17557739,16621538,18039715,16161816,15709577,20568728,19025752,19533888,20047258
120,Malaysia,East Asia & Pacific,32910967,31232798,31789685,30696137,32355644,30174265,29662831,34695493,33440596,33889558,34282399
121,Maldives,South Asia,473099,428154,443308,413617,458287,400070,386818,524106,487731,502118,516154
122,Mali,Sub-Saharan Africa,20442030,18593022,19191289,18020267,19813011,17459615,16957033,23072640,21068405,21713836,22388630
123,Malta,Middle East & North Africa,484630,445053,455356,434558,467999,425967,420028,531511,504062,515332,518536
124,Marshall Islands,East Asia & Pacific,45285,48800,47709,49796,46529,50681,51419,40077,44007,42706,41367
125,Mauritania,Sub-Saharan Africa,4337685,3965959,4086657,3848514,4210600,3734318,3619034,4875637,4467708,4600131,4734874
126,Mauritius,Sub-Saharan Africa,1265577,1262879,1263747,1261208,1264887,1258927,1255882,1262523,1265985,1266014,1266334
127,Mexico,Latin America & Caribbean,124573711,121072306,122251351,119784261,123400057,118343573,116818208,128613117,125762982,126799054,127648148
128,"Micronesia, Fed. Sts.",East Asia & Pacific,109909,108716,109075,108396,109481,108121,107890,112114,110282,110916,111624
129,Moldova,Europe & Central Asia,2707203,2835978,2803186,2857815,2755189,2859558,2860324,2528654,2664224,2635130,2595809
130,Monaco,Europe & Central Asia,38154,36757,37276,36128,37678,35447,34711,38931,38109,38050,38527
131,Mongolia,East Asia & Pacific,3208189,3026864,3088856,2963113,3148917,2899011,2839705,3433748,3267673,3327204,3383741
132,Montenegro,Europe & Central Asia,622227,622159,622303,621810,622373,621207,620601,617213,622028,621306,619211
133,Morocco,Middle East & North Africa,35839760,34607588,35023457,34204780,35446392,33787571,33355241,37329064,36210898,36584208,36954442
134,Mozambique,Sub-Saharan Africa,29018644,26547572,27337105,25788475,28166393,25051611,24337846,32656246,29884380,30783688,31707800
135,Myanmar,East Asia & Pacific,52272247,51089056,51495696,50681634,51894938,50262658,49837446,53756787,52640713,53016522,53387102
136,Namibia,Sub-Saharan Africa,2577327,2374300,2439213,2312139,2506853,2252508,2194654,2889662,2650494,2728762,2810548
137,Nauru,East Asia & Pacific,11477,10954,11150,10742,11324,10517,10267,11801,11587,11643,11709
138,Nepal,South Asia,28079689,27823629,27955462,27672370,28011258,27589996,27534915,29715436,28414064,28966574,29475010
139,Netherlands,Europe & Central Asia,17231624,16939923,17030314,16865008,17131296,16804432,16754962,17700982,17344874,17441500,17533044
140,New Caledonia,East Asia & Pacific,283541,283168,283423,281224,283546,276822,271633,287123,283606,284176,285214
141,New Zealand,East Asia & Pacific,4900600,4609400,4714100,4516500,4813600,4442100,4408100,5117200,4979200,5090200,5111300
142,Nicaragua,Latin America & Caribbean,6400080,6149417,6232666,6066492,6316231,5983845,5901287,6730654,6483657,6565267,6644741
143,Niger,Sub-Saharan Africa,22188069,19939498,20685753,19215909,21435446,18519898,17836769,25311973,22947757,23717613,24502140
144,Nigeria,Sub-Saharan Africa,204938755,190671878,195443700,185896915,200254579,181049443,176200625,223150896,209485641,213996181,218529286
145,North Macedonia,Europe & Central Asia,1889051,1912430,1906313,1917557,1898657,1922716,1929821,1831712,1876262,1856124,1837114
146,Northern Mariana Islands,East Asia & Pacific,49077,51514,50773,52178,49959,52758,53234,46078,48129,47528,46979
147,Norway,Europe & Central Asia,5311916,5188607,5234519,5137232,5276968,5079623,5018573,5457127,5347896,5379475,5408320
148,Oman,Middle East & North Africa,4597877,4184895,4390877,4002439,4537396,3833913,3547106,4730226,4591241,4522497,4500424
149,Pakistan,South Asia,226928892,217290883,220138869,214264647,223273967,211073978,207667125,243700667,230800899,235001746,239477801
150,Palau,East Asia & Pacific,17814,17770,17797,17715,17812,17648,17765,17759,17798,17792,17783
151,Panama,Latin America & Caribbean,4167860,3960035,4029086,3892101,4098707,3825329,3759256,4400773,4234700,4293261,4345405
152,Papua New Guinea,East Asia & Pacific,9394513,8743246,8961718,8523441,9178714,8302698,8081390,10203169,9609010,9815746,10012896
153,Paraguay,Latin America & Caribbean,6427382,6159103,6249126,6069811,6338660,5982445,5897008,6760464,6515058,6603739,6684182
154,Peru,Latin America & Caribbean,31897584,30457600,30866494,30115826,31324637,29817919,29550366,33475438,32449303,32838579,33155882
155,Philippines,East Asia & Pacific,109465287,105312992,106735719,103767130,108119693,102076336,100175512,113964338,110804683,112081264,113100950
156,Poland,Europe & Central Asia,37974750,37986412,37970087,38011735,37974826,38040196,38063164,36821749,37965475,37899070,36981559
157,Portugal,Europe & Central Asia,10283822,10358076,10325452,10401062,10300300,10457295,10514844,10434332,10286263,10297081,10361831
158,Puerto Rico,Latin America & Caribbean,3193354,3473232,3406672,3534874,3325286,3593077,3634488,3220113,3193694,3281557,3262693
159,Qatar,Middle East & North Africa,2580734,2344557,2477113,2151745,2545820,1916426,1722438,2657333,2638657,2794148,2504910
160,Romania,Europe & Central Asia,19473970,19815616,19702267,19908979,19588715,19983693,20058035,19048502,19371648,19265250,19122059
161,Russian Federation,Europe & Central Asia,145398106,144640716,145015460,144237223,145293260,143805638,143378447,144236933,145453291,145245148,144746762
162,Rwanda,Sub-Saharan Africa,12487996,11640022,11919183,11364757,12202060,11093340,10829901,13651030,12776103,13065837,13355260
163,Samoa,East Asia & Pacific,207582,201782,203499,200037,205415,198268,196498,215261,209780,211944,213779
164,San Marino,Europe & Central Asia,34522,32897,33101,32655,33825,33041,33469,33755,34663,34770,34252
165,Sao Tome and Principe,Sub-Saharan Africa,210187,200291,203689,196767,206970,193148,189439,226305,213392,217435,221961
166,Saudi Arabia,Middle East & North Africa,30196281,29816382,30954198,28309273,30977355,27624004,26168861,32175224,30063799,31552510,30784383
167,Senegal,Sub-Saharan Africa,15914498,14593331,15034521,14152102,15475002,13710849,13310495,17651103,16352922,16789219,17220867
168,Serbia,Europe & Central Asia,6982604,7095383,7058322,7131787,7020858,7166553,7201497,6664449,6945235,6899126,6834326
169,Seychelles,Sub-Saharan Africa,96762,93419,94677,91359,95843,89949,88303,119878,97625,98462,99258
170,Sierra Leone,Sub-Saharan Africa,7554563,7037655,7205328,6876385,7379299,6714051,6551080,8276807,7731991,7912558,8094602
171,Singapore,East Asia & Pacific,5638676,5535002,5607283,5469724,5612253,5399162,5312437,5637022,5703569,5685807,5453566
172,Sint Maarten (Dutch part),Latin America & Caribbean,39712,37471,38249,36672,38996,35854,35023,42139,40385,41008,41571
173,Slovak Republic,Europe & Central Asia,5446771,5423801,5430798,5418649,5439232,5413393,5407579,5431752,5454147,5458827,5447247
174,Slovenia,Europe & Central Asia,2073894,2063531,2065042,2061980,2066388,2059953,2057159,2112076,2088385,2102419,2108079
175,Solomon Islands,East Asia & Pacific,709101,639415,662379,616908,685672,594945,573606,781066,728147,744498,762591
176,Somalia,Sub-Saharan Africa,15452487,13806963,14348740,13339491,14916629,12869594,12461160,17801897,16030971,16651191,17271431
177,South Africa,Sub-Saharan Africa,58613001,56723537,57259551,55594838,57635162,54678791,53782567,62378410,59587885,60562381,61502603
178,South Sudan,Sub-Saharan Africa,10122977,11107561,10830102,11235073,10259154,11166275,10756240,11021177,10423384,10698467,10865780
179,Spain,Europe & Central Asia,46797754,46444832,46484062,46480882,46593236,46620045,46773055,47759127,47134837,47365655,47415794
180,Sri Lanka,South Asia,21670000,20970000,21209000,20778000,21444000,20585000,21169458,22181000,21803000,21919000,22156000
181,St. Kitts and Nevis,Latin America & Caribbean,47008,47087,47075,47089,47050,47069,47033,46709,46952,46870,46763
182,St. Lucia,Latin America & Caribbean,177017,174905,175646,174138,176342,173369,172587,178781,177661,178250,178522
183,St. Martin (French part),Latin America & Caribbean,36012,37369,37175,37450,36837,37419,37276,28870,34267,31786,29961
184,St. Vincent and the Grenadines,Latin America & Caribbean,104926,106960,106349,107535,105663,108135,108736,102046,104167,103526,102841
185,Sudan,Sub-Saharan Africa,44230596,40024431,41259892,38823318,42714306,37785849,36923178,49383346,45548175,46789231,48066924
186,Suriname,Latin America & Caribbean,599513,581627,587757,575373,593713,569020,562633,623164,605768,612317,617896
187,Sweden,Europe & Central Asia,10175214,9799186,9923085,9696110,10057698,9600379,9519374,10486941,10278887,10353442,10415811
188,Switzerland,Europe & Central Asia,8514329,8282396,8373338,8188649,8451840,8089346,7996861,8777088,8575280,8638167,8704546
189,Syrian Arab Republic,Middle East & North Africa,19577845,19424618,19193834,20273659,19224668,21666917,22759763,22462173,20353534,21049429,21628839
190,Tajikistan,Europe & Central Asia,9307333,8643840,8865631,8425552,9085946,8216724,8014084,10182222,9529966,9749310,9966908
191,Tanzania,Sub-Saharan Africa,57437145,52020962,53824013,50351512,55652890,48824128,47374260,64711821,59174891,60972798,62830412
192,Thailand,East Asia & Pacific,71376079,70540795,70859841,70216367,71160187,69845114,69436098,71735329,71522271,71641484,71727332
193,Timor-Leste,East Asia & Pacific,1275959,1205131,1228312,1181903,1251703,1158695,1134885,1369295,1300945,1326053,1350139
194,Togo,Sub-Saharan Africa,8258778,7663195,7858289,7472450,8057140,7285442,7100736,9089738,8463068,8669720,8878379
195,Tonga,East Asia & Pacific,105567,106095,105524,106609,105356,107078,107460,105042,105669,105704,105490
196,Trinidad and Tobago,Latin America & Caribbean,1359193,1349667,1353895,1345343,1356633,1340557,1335194,1365805,1363985,1366725,1367558
197,Tunisia,Middle East & North Africa,11765514,11402264,11528674,11274288,11650498,11141361,11009647,12119334,11875081,11974057,12048622
198,Turkiye,Europe & Central Asia,81407204,78218479,79277962,77181884,80312698,76147624,75175827,84979913,82579440,83384680,84147318
199,Turkmenistan,Europe & Central Asia,6655524,6215770,6360041,6075283,6507061,5939341,5808546,7230193,6803944,6949912,7092043
200,Turks and Caicos Islands,Latin America & Caribbean,41559,36605,38315,35050,39913,33653,32127,45847,43166,44386,45243
201,Tuvalu,East Asia & Pacific,10751,10963,10930,10984,10869,11001,10934,9992,10581,10399,10194
202,Uganda,Sub-Saharan Africa,41565831,37531446,38799152,36395539,40177388,35337042,34337438,47312719,42999637,44457152,45910930
203,Ukraine,Europe & Central Asia,45208907,45784896,45616832,45972380,45436041,46126770,46210056,41048766,44957458,44680014,44298640
204,United Arab Emirates,Middle East & North Africa,9346701,8505237,8935095,8059440,9223225,7693031,7391448,10074977,9445785,9401038,9575152
205,United Kingdom,Europe & Central Asia,66460344,65116219,65611593,64602298,66058859,64128273,63700215,67791000,66836327,67081234,67026292
206,United States,North America,326838199,320738994,323071755,318386329,325122128,316059947,313877662,333271411,328329953,331526933,332048977
207,Uruguay,Latin America & Caribbean,3394534,3368017,3379283,3356334,3388438,3345337,3335401,3390913,3397206,3398968,3396695
208,Uzbekistan,Europe & Central Asia,32373490,30749346,31284568,30222994,31819178,29724065,29261903,34938955,32964701,33586372,34243696
209,Vanuatu,East Asia & Pacific,285259,266101,272087,260240,278507,254482,248883,313046,291985,298858,305868
210,"Venezuela, RB",Latin America & Caribbean,29807592,30573972,30765720,30254079,30565323,29912198,29553826,28213017,28938098,28444077,28237826
211,Virgin Islands (U.S.),Latin America & Caribbean,107001,107712,107516,107882,107281,108041,108188,105413,106669,106290,105870
212,West Bank and Gaza,Middle East & North Africa,4569087,4270092,4367088,4173398,4454805,4076708,3979998,5043612,4685306,4803269,4922749
213,"Yemen, Rep.",Middle East & North Africa,34085182,31159379,32109010,30226309,33090921,29312952,28433647,38222876,35111408,36134863,37140230
214,Zambia,Sub-Saharan Africa,17973569,16399089,16914423,15895315,17441320,15398997,14913629,20152938,18513839,19059395,19603607
215,Zimbabwe,Sub-Saharan Africa,15034452,14399013,14600294,14207359,14812482,14013808,13817887,16069056,15271368,15526888,15797210
